Marque,Modèle,year,road,boite,horsepower,fuel,nbre_portes,cylindrée,Prix
Renault,Kadjar,2019,160 000 KM,Automatique,7 CV,Essence,5,,55000
Volkswagen,Caddy,2017,180 KM,Manuelle,5 CV,Diesel,3,7 L,42
Mercedes,Classe E,2017,60 000 KM,Automatique,10 CV,Essence,3,7 L,185000
Hyundai,TUCSON,2022,42 000 KM,Automatique,7 CV,Diesel,5,7 L,135000
Mercedes,Classe E,2017,106 000 KM,Automatique,9 CV,Essence,5,7 L,127000
Mercedes,Classe C,2014,223 000 KM,Automatique,8 CV,Essence,5,7 L,75000
Kia,SPORTAGE,2020,93 000 KM,Automatique,11 CV,Essence,5,7 L,95000
Volkswagen,Golf,2012,300 KM,Manuelle,6 CV,Diesel,5,6 L,39
Peugeot,407,2008,450 000 KM,Manuelle,6 CV,Diesel,5,7 L,21000000
Ford,FOCUS,2007,220 KM,Manuelle,6 CV,Essence,5,5 L,24500
Suzuki,Autres,2023,3 800 KM,Manuelle,5 CV,Essence,5,2 L,0
Chevrolet,TRAX,2019,71 000 KM,Manuelle,8 CV,Essence,5,5 L,52900
Toyota,Yaris,2018,117 000 KM,Manuelle,4 CV,Essence,5,1 L,35800
Toyota,Yaris,2018,117 000 KM,Manuelle,4 CV,Essence,5,1 L,35800
Toyota,Yaris,2018,117 000 KM,Manuelle,4 CV,Essence,5,1 L,35800
Toyota,Yaris,2018,117 000 KM,Manuelle,4 CV,Essence,5,1 L,35800
Peugeot,206,2002,230 KM,Manuelle,7 CV,Essence,5,8 L,16000
Peugeot,208,2018,61 500 KM,Manuelle,5 CV,Essence,5,3 L,30
Peugeot,206,1991,13 KM,Manuelle,5 CV,Diesel,5,10 L,14
Volkswagen,Polo,2018,140 000 KM,Manuelle,4 CV,Essence,5,5 L,42000
Renault,Clio,2018,110 000 KM,Manuelle,4 CV,Essence,5,3 L,37000
Hyundai,I10,2017,1 600 000 KM,Manuelle,4 CV,Essence,5,3 L,250000
Renault,Clio,2016,108 KM,Manuelle,5 CV,Essence,5,3 L,41
Volkswagen,Polo,2005,200 000 KM,Manuelle,4 CV,Essence,5,7 L,9000
Audi,S4,2000,207 000 KM,Manuelle,9 CV,Diesel,5,18 L,35000
Citroen,C5 II,2012,193 KM,Manuelle,6 CV,Diesel,5,7 L,33
Renault,Clio,1996,290 000 KM,Manuelle,5 CV,Essence,5,5 L,8500
Renault,R9,1985,376 KM,Manuelle,5 CV,Essence,5,,6400
Ds,DS3,2010,160 KM,Manuelle,5 CV,Essence,3,,27000
Suzuki,Celerio,2018,30 000 KM,Manuelle,4 CV,Essence,5,1 L,31000
Honda,AUTRE,2016,120 000 KM,Manuelle,5 CV,Essence,5,3 L,30000
Mercedes,Classe A,2013,159 000 KM,Manuelle,6 CV,Essence,5,,50000
Seat,Ibiza,2014,216 KM,Manuelle,5 CV,Essence,5,3 L,30
Renault,Clio,2017,100 000 KM,Manuelle,4 CV,Essence,5,3 L,41500
Mercedes,Classe B,2007,225 000 KM,Manuelle,7 CV,Diesel,5,8 L,17500
Mercedes,Classe C,2007,493 KM,Manuelle,7 CV,Diesel,5,,32
Renault,Kadjar,2018,107 000 KM,Automatique,7 CV,Essence,5,3 L,80000
Isuzu,D MAX,2006,280 KM,Manuelle,10 CV,Diesel,3,,54000000
Seat,Ibiza,2020,46 000 KM,Manuelle,4 CV,Essence,5,1 L,0
Renault,Autres,2022,49 500 KM,Manuelle,4 CV,Essence,5,1 L,35000
Volkswagen,Polo,2021,66 000 KM,Manuelle,5 CV,Essence,5,3 L,51000
Volkswagen,Passat,2011,200 000 KM,Automatique,9 CV,Essence,5,9 L,32000
Renault,Clio,2022,23 000 KM,Manuelle,5 CV,Essence,5,1 L,60
Volkswagen,Polo,1995,200 000 KM,Manuelle,5 CV,Essence,5,5 L,11500
Kia,RIO,2024,150 KM,Manuelle,5 CV,Essence,5,,33
Ford,ECOSPORT,2022,49 922 KM,Manuelle,7 CV,Essence,5,1 L,69000
Haval,Jolion,2023,20 000 KM,Automatique,9 CV,Essence,5,6 L,69000
Skoda,Fabia,2017,113 000 KM,Manuelle,4 CV,Essence,5,,33500
Renault,Master,2021,94 000 KM,Manuelle,6 CV,Diesel,5,14 L,105000
Kia,CERATO,2014,228 KM,Automatique,8 CV,Essence,5,7 L,0
Seat,Ibiza,2020,143 000 KM,Manuelle,4 CV,Essence,5,1 L,41000
Hyundai,I20,2014,248 KM,Manuelle,6 CV,Essence,5,,26000
Renault,Megane,2009,430 000 KM,Manuelle,5 CV,Diesel,5,6 L,21000
Kia,RIO,2014,93 000 KM,Manuelle,5 CV,Essence,5,3 L,1
Kia,PICANTO,2022,80 KM,Manuelle,4 CV,Essence,5,,47500
Volkswagen,Polo,2021,75 000 KM,Manuelle,5 CV,Essence,5,3 L,53000
Peugeot,508,2011,225 000 KM,Manuelle,9 CV,Diesel,4,7 L,28000
Ford,FIESTA,2016,140 000 KM,Manuelle,5 CV,Essence,5,5 L,34800
Mercedes,Autres,1996,450 KM,Manuelle,10 CV,Diesel,5,,20
Hyundai,IX35,2014,0 KM,Automatique,11 CV,Diesel,5,11 L,0
Citroen,C5 II TOURER,2011,176 000 KM,Manuelle,6 CV,Diesel,5,7 L,43000
Toyota,Yaris,2021,120 000 KM,Manuelle,6 CV,Essence,5,21 L,53000
Volkswagen,Passat,2011,186 000 KM,Manuelle,5 CV,Diesel,5,7 L,56000
Volkswagen,Golf,2015,117 000 KM,Manuelle,5 CV,Essence,5,3 L,58500
Renault,Kangoo,2009,320 KM,Manuelle,6 CV,Diesel,5,6 L,111
Ssangyong,Actyon,2010,340 KM,Automatique,8 CV,Diesel,5,11 L,18
Suzuki,Autres,2019,125 KM,Manuelle,5 CV,Essence,5,3 L,0
Hyundai,ELANTRA,2018,91 000 KM,Automatique,7 CV,Essence,5,7 L,60000
Bmw,AUTRE,2010,200 000 KM,Manuelle,7 CV,Essence,5,3 L,0
Volkswagen,Golf,2019,95 000 KM,Automatique,6 CV,Essence,5,3 L,0
Ford,ECOSPORT,2021,30 000 KM,Manuelle,7 CV,Essence,5,1 L,0
Hyundai,I10,2016,150 000 KM,Manuelle,5 CV,Essence,5,3 L,0
Volkswagen,Golf,2020,70 000 KM,Manuelle,6 CV,Essence,5,1 L,0
Peugeot,208,2020,133 KM,Manuelle,4 CV,Essence,5,3 L,27500
Suzuki,Celerio,2022,35 000 KM,Manuelle,4 CV,Essence,5,1 L,0
Ds,DS3,2010,290 000 KM,Manuelle,5 CV,Essence,5,3 L,0
Chery,Tiggo,2021,42 000 KM,Manuelle,5 CV,Essence,5,3 L,0
Fiat,500,2017,92 000 KM,Automatique,5 CV,Essence,3,3 L,0
Hyundai,I10,2021,75 000 KM,Manuelle,5 CV,Essence,5,3 L,0
Volkswagen,Golf,2021,140 000 KM,Manuelle,4 CV,Essence,5,1 L,0
Volkswagen,Golf 8,2021,55 000 KM,Automatique,8 CV,Electrique,5,5 L,1234
Mercedes,Classe C,2022,50 000 KM,Automatique,10 CV,Hybride,5,9 L,1234
Volkswagen,Golf 7,2019,119 000 KM,Manuelle,7 CV,Essence,5,1 L,1234
Citroen,BERLINGO,2020,140 000 KM,Manuelle,7 CV,Diesel,5,7 L,1234
Mercedes,Classe C,2015,100 000 KM,Automatique,8 CV,Essence,5,9 L,1234
Seat,Ibiza,2011,198 000 KM,Manuelle,5 CV,Essence,5,4 L,26000
Ford,FOCUS,2018,190 100 KM,Automatique,7 CV,Essence,5,1 L,44500
Citroen,C4 PICASSO,2008,290 000 KM,Manuelle,6 CV,Diesel,5,7 L,23
Volkswagen,CC,2013,126 000 KM,Automatique,9 CV,Essence,5,9 L,58000
Chevrolet,CRUZE,2012,180 KM,Manuelle,7 CV,Essence,5,7 L,24500
Opel,Corsa,2010,195 000 KM,Manuelle,4 CV,Essence,3,3 L,23000
Volkswagen,Golf,2013,199 000 KM,Manuelle,5 CV,Essence,5,3 L,0
Ssangyong,Actyon,2014,179 000 KM,Manuelle,7 CV,,5,11 L,0
Peugeot,Autres,2015,182 000 KM,Manuelle,5 CV,Essence,5,,27000
Fiat,DOBLO,2021,89 000 KM,Manuelle,5 CV,Diesel,3,3 L,45500
Bmw,520,2008,356 000 KM,Automatique,9 CV,Essence,5,11 L,40000
Hyundai,I20,2019,117 KM,Manuelle,5 CV,Essence,5,5 L,42
Citroen,SAXO,1998,300 KM,Manuelle,5 CV,Essence,5,2 L,12800
Fiat,FIORINO,2009,250 000 KM,Manuelle,6 CV,Diesel,3,4 L,25000
Mercedes,Classe C,2008,229 000 KM,Automatique,9 CV,Essence,5,8 L,123
Renault,Clio,2001,300 KM,Manuelle,4 CV,Essence,5,3 L,15800
Ford,FIESTA,2012,95 500 KM,Manuelle,5 CV,Essence,5,31 L,29500
Ford,FIESTA,2014,209 000 KM,Manuelle,5 CV,Essence,5,5 L,0
Renault,Clio,2008,185 000 KM,Manuelle,5 CV,Essence,5,3 L,23
Volkswagen,Polo,2013,290 KM,Manuelle,5 CV,Essence,5,3 L,30300
MG,Zs,2019,1 330 000 KM,Automatique,7 CV,Essence,5,6 L,57000
Kia,RIO,2019,113 000 KM,Manuelle,6 CV,Essence,5,4 L,61500
Fiat,PALIO WEEKEND,2000,111 KM,Manuelle,5 CV,Essence,5,3 L,12500
Volkswagen,Polo,2001,130 KM,Manuelle,4 CV,Essence,5,,14000
Renault,Megane,2017,0 KM,Manuelle,6 CV,Diesel,5,10 L,0
Toyota,Yaris,2018,117 000 KM,Manuelle,4 CV,Essence,5,1 L,36500
Citroen,C3,2019,104 000 KM,Manuelle,4 CV,Essence,5,3 L,33000
Ford,FIESTA,2009,250 000 KM,Manuelle,5 CV,Essence,5,3 L,20000
Ford,RANGER,2012,206 000 KM,Manuelle,11 CV,Diesel,5,13 L,80000
Opel,Corsa,1994,178 000 KM,Manuelle,4 CV,Essence,5,3 L,11
Fiat,UNO,1997,300 000 KM,Manuelle,4 CV,Essence,5,2 L,9800
Jeep,COMPASS,2019,55 000 KM,Automatique,11 CV,Essence,5,5 L,125000
Citroen,C3 II,2011,178 000 KM,Manuelle,5 CV,Essence,5,3 L,25500
Citroen,C3,2003,211 000 KM,Manuelle,5 CV,Essence,5,5 L,19500
Ford,FOCUS,2017,224 000 KM,Manuelle,6 CV,Essence,5,1 L,36500
Ford,FIESTA,2013,210 KM,Manuelle,5 CV,Essence,5,5 L,27500
Fiat,PALIO WEEKEND,2009,240 000 KM,Manuelle,5 CV,Essence,5,,18
Bmw,316,2006,255 000 KM,Manuelle,7 CV,Essence,5,7 L,37000
Chery,Tiggo,2019,49 000 KM,Manuelle,6 CV,Essence,5,5 L,43000
Ssangyong,Actyon,2017,260 000 KM,Manuelle,7 CV,Diesel,5,5 L,55000
Chevrolet,AVEO,2014,175 000 KM,Manuelle,5 CV,Essence,5,3 L,25500
Peugeot,306,1997,12 588 885 KM,Manuelle,5 CV,Diesel,5,5 L,10500
Kia,RIO,2019,127 000 KM,Manuelle,5 CV,Essence,5,,47500
Volkswagen,Golf 6,2012,150 000 KM,Manuelle,5 CV,Essence,5,5 L,39000
Seat,Ibiza,2014,181 000 KM,Manuelle,5 CV,Essence,5,3 L,29500
Peugeot,3008,2018,150 000 KM,Automatique,7 CV,Essence,5,3 L,79000
Nissan,Micra,2013,166 000 KM,Manuelle,5 CV,Essence,5,,23000000
Seat,Leon,2018,153 KM,Manuelle,7 CV,Essence,5,3 L,60
Volkswagen,Golf 6,2012,150 KM,Manuelle,5 CV,Essence,5,5 L,0
Great-wall,GK-GL,2019,100 000 KM,Manuelle,6 CV,Essence,5,7 L,39000
Volkswagen,Passat,2001,376 KM,Manuelle,7 CV,Diesel,5,10 L,22000
Audi,A3,2015,150 KM,Manuelle,10 CV,Essence,3,9 L,53
Seat,Arona,2019,88 000 KM,Manuelle,6 CV,Essence,5,7 L,65
Mercedes,GLC,2021,40 000 KM,Automatique,17 CV,Essence,5,11 L,1234
Chevrolet,AVEO,2012,161 000 KM,Manuelle,5 CV,Essence,5,3 L,22000
Audi,A4,2010,169 100 KM,Automatique,7 CV,Essence,5,9 L,33000
Renault,Megane,2003,236 000 KM,Manuelle,6 CV,Essence,5,5 L,21000
Renault,Autres,2017,69 KM,Manuelle,5 CV,Essence,5,3 L,43
Seat,Ibiza,2020,47 000 KM,Manuelle,4 CV,Essence,5,1 L,44
Renault,Clio,2020,110 000 KM,Manuelle,5 CV,Essence,5,3 L,41000
Mahindra,KUV 100,2021,49 KM,Manuelle,5 CV,Essence,5,3 L,36
Ford,FIESTA,2013,135 000 KM,Manuelle,5 CV,Essence,5,3 L,34000
Ford,ECOSPORT,2019,151 000 KM,Automatique,7 CV,Essence,5,31 L,58500
Peugeot,3008,2022,34 600 KM,Automatique,9 CV,Essence,5,7 L,119000
Ford,FIESTA,2012,250 000 KM,Manuelle,5 CV,Essence,5,3 L,29000
Bmw,SERIE 3 VI,2007,250 000 KM,Automatique,10 CV,Diesel,3,31 L,49000
Audi,A3,2013,205 000 KM,Manuelle,5 CV,Diesel,5,7 L,55000
Volkswagen,Passat,2008,202 000 KM,Automatique,8 CV,Essence,5,7 L,35000
Ford,FIESTA,2007,300 KM,Manuelle,5 CV,Essence,5,,21500
Volkswagen,Polo,2017,136 000 KM,Manuelle,5 CV,Essence,5,5 L,40000
Isuzu,AUTRE,2020,193 502 KM,Manuelle,8 CV,Diesel,3,,58
Ssangyong,Tivoli,2021,93 000 KM,Manuelle,6 CV,Essence,5,3 L,66000
Mercedes,Classe M,2001,500 KM,Automatique,17 CV,Essence,5,23 L,123
Peugeot,Partner,2011,209 000 KM,Manuelle,7 CV,Essence,5,,31000
Hyundai,I10,2020,116 000 KM,Automatique,5 CV,Essence,5,3 L,40000
Renault,Alpine,2024,5 300 KM,Automatique,5 CV,Hybride,5,7 L,110000
Mercedes,Classe E,2021,55 000 KM,Automatique,11 CV,Diesel,5,11 L,1234
Fiat,AUTRE,2005,,Manuelle,5 CV,Essence,5,6 L,13000
Citroen,C3,2018,129 400 KM,Manuelle,5 CV,Essence,5,3 L,33500
Hyundai,I20,2013,217 KM,Manuelle,4 CV,Essence,5,3 L,29000
Volkswagen,Polo,2003,291 000 KM,Manuelle,4 CV,Essence,5,3 L,18500
Kia,SPORTAGE,2021,85 000 KM,Automatique,8 CV,Essence,5,5 L,91000
Renault,Megane,1999,250 000 KM,Automatique,7 CV,Essence,5,7 L,15500
Ford,FOCUS,2018,219 000 KM,Manuelle,6 CV,Essence,5,1 L,39500
Opel,Astra,2009,166 391 KM,Manuelle,5 CV,Essence,5,5 L,11111
Audi,A4,2013,103 000 KM,Manuelle,7 CV,Essence,5,9 L,52000
Seat,Leon,2019,101 500 KM,Manuelle,6 CV,Essence,5,3 L,58000
Citroen,C4,2014,89 000 KM,Manuelle,6 CV,Essence,5,5 L,42000
Mahindra,KUV 100,2019,123 500 KM,Manuelle,5 CV,Essence,5,1 L,27000
MG,Zs,2023,27 008 KM,Automatique,7 CV,Essence,5,6 L,77000
Isuzu,D MAX,2021,64 000 KM,Automatique,10 CV,Diesel,5,21 L,155
Citroen,AUTRE,2013,200 000 KM,Manuelle,5 CV,Essence,5,3 L,23000
Peugeot,308,2019,40 000 KM,Manuelle,5 CV,Essence,5,,46000
Citroen,NEMO,2013,400 000 KM,Manuelle,6 CV,Diesel,3,5 L,22500
Kia,RIO,2013,1 884 000 KM,Manuelle,5 CV,Essence,5,5 L,35000
Nissan,Qashqai,2017,161 000 KM,Manuelle,5 CV,Diesel,5,6 L,71000
Hyundai,ACCENT,2020,76 000 KM,Automatique,6 CV,Essence,5,7 L,65000
Audi,Q5,2014,140 KM,Manuelle,8 CV,Diesel,5,,75
Peugeot,2008,2017,177 000 KM,Manuelle,5 CV,Essence,5,,36000
Peugeot,Autres,2018,120 000 KM,Manuelle,5 CV,Essence,5,,31
Peugeot,407,2005,268 000 KM,Manuelle,6 CV,Diesel,5,7 L,20
Citroen,BERLINGO,2021,80 000 KM,Manuelle,5 CV,Diesel,3,6 L,55
Chevrolet,CRUZE,2012,210 000 KM,Manuelle,6 CV,Essence,5,7 L,27
Nissan,Juke,2012,188 KM,Manuelle,6 CV,Diesel,5,,39500
Ssangyong,Tivoli,2016,174 000 KM,Manuelle,7 CV,Essence,5,7 L,44
Hyundai,I10,2021,68 000 KM,Manuelle,5 CV,Essence,5,3 L,44500
Volkswagen,Polo,2020,100 000 KM,Manuelle,4 CV,Essence,5,,123
BYD,F1,2017,78 000 KM,Manuelle,7 CV,Essence,5,6 L,36000
Renault,Clio,2023,52 000 KM,Manuelle,5 CV,Essence,5,1 L,25000
Peugeot,206,2008,213 000 KM,Manuelle,6 CV,Essence,5,2 L,18000
Kia,RIO,2018,134 500 KM,Manuelle,5 CV,Essence,5,3 L,50000
Peugeot,106,2000,179 500 KM,Manuelle,4 CV,Essence,3,1 L,12000
Hyundai,I10,2020,103 KM,Automatique,4 CV,Essence,5,1 L,38
Fiat,TIPO,2020,125 000 KM,Manuelle,5 CV,Diesel,5,3 L,37500
Peugeot,Autres,2019,180 000 KM,Manuelle,5 CV,Essence,5,3 L,26000
Volkswagen,Transporter,2020,287 000 KM,Manuelle,6 CV,Diesel,3,11 L,67000
Mahindra,AUTRE,2019,55 000 KM,Manuelle,6 CV,Essence,5,,38000
Seat,Leon,2017,160 KM,Manuelle,6 CV,Essence,5,3 L,49
Hyundai,I10,2016,90 000 KM,Manuelle,5 CV,Essence,5,3 L,35000
Renault,Clio,2017,130 000 KM,Manuelle,4 CV,Essence,5,3 L,38000
Volkswagen,Polo,1998,180 KM,Manuelle,5 CV,Essence,5,21 L,11500
Kia,SPORTAGE,2021,43 KM,Automatique,8 CV,Essence,5,8 L,105
Hyundai,I10,2022,71 000 KM,Manuelle,5 CV,Essence,5,3 L,51500
Suzuki,Autres,2020,67 000 KM,Manuelle,6 CV,Essence,5,6 L,60000
Suzuki,Autres,2020,99 698 KM,Manuelle,6 CV,Essence,5,,50000
Citroen,C4,2013,198 000 KM,Manuelle,6 CV,Essence,5,3 L,32000
Volkswagen,Golf,2021,100 KM,Manuelle,7 CV,Essence,5,6 L,0
Bmw,316,2013,115 000 KM,Manuelle,7 CV,Essence,5,7 L,58000
Hyundai,I10,2021,21 000 KM,Manuelle,4 CV,Essence,5,1 L,45
Ford,COURRIER,1995,255 000 KM,Manuelle,7 CV,Diesel,3,9 L,4800
Toyota,Yaris,2015,147 900 KM,Manuelle,5 CV,Essence,5,4 L,38
Volvo,S60,2014,186 000 KM,Manuelle,8 CV,Essence,5,7 L,37500
Citroen,C4,2007,201 310 KM,Manuelle,6 CV,Essence,5,5 L,21700
Kia,RIO,2020,103 000 KM,Manuelle,5 CV,Essence,5,3 L,55
Volkswagen,Polo,2005,320 000 KM,Manuelle,4 CV,Essence,5,1 L,14000
Volkswagen,Polo,2020,90 000 KM,Manuelle,4 CV,Essence,5,1 L,49
Renault,Megane,2009,278 000 KM,Manuelle,7 CV,Essence,5,7 L,29500
Volkswagen,Golf,2012,250 KM,Manuelle,5 CV,Diesel,5,5 L,38000
Renault,Autres,2018,115 KM,Manuelle,5 CV,Essence,5,3 L,41
Renault,Clio,1997,237 000 KM,Manuelle,4 CV,Essence,5,31 L,9
Volkswagen,Golf 8,2021,100 KM,Manuelle,7 CV,Essence,5,6 L,100
Kia,SPORTAGE,2022,177 000 KM,Automatique,7 CV,Diesel,5,7 L,90000
Citroen,BERLINGO,2009,565 500 KM,Manuelle,7 CV,Diesel,3,10 L,17900
Hyundai,TUCSON,2022,30 000 KM,Automatique,7 CV,Hybride,5,7 L,155000
Fiat,FIORINO,2017,221 KM,Manuelle,5 CV,Diesel,3,4 L,26
Ford,ORION,1985,2 500 KM,Manuelle,5 CV,Essence,5,7 L,10
Audi,,2018,65 000 KM,Automatique,8 CV,Essence,5,18 L,10000
Chery,Tiggo,2019,70 KM,Manuelle,6 CV,Essence,5,6 L,0
Mazda,BT 50,2017,240 000 KM,Manuelle,9 CV,Diesel,5,,50000
Volkswagen,Golf 8,2024,100 000 KM,Manuelle,7 CV,Essence,5,6 L,100
Renault,Clio,2019,91 000 KM,Manuelle,9 CV,Essence,5,3 L,42500
Volkswagen,Polo,2014,210 000 KM,Manuelle,5 CV,Essence,5,3 L,29500
Fiat,PANDA,2017,227 000 KM,Manuelle,4 CV,Essence,5,3 L,30
Volkswagen,Golf 8,2021,100 000 KM,Manuelle,7 CV,Essence,5,6 L,100
Volkswagen,Golf 7,2014,167 000 KM,Manuelle,5 CV,Essence,5,3 L,47000
Toyota,Corolla,1994,160 000 KM,Manuelle,6 CV,Essence,5,1 L,6000
Toyota,Aygo,2022,60 000 KM,Manuelle,4 CV,Essence,5,21 L,35000
Bmw,320,2007,250 000 KM,Automatique,10 CV,Diesel,3,,49000
Toyota,Autres,2022,60 000 KM,Manuelle,4 CV,Essence,5,21 L,35000
Renault,Modus,2007,230 410 KM,Manuelle,5 CV,Essence,5,3 L,23000
Renault,Autres,2014,179 KM,Manuelle,5 CV,Essence,5,10 L,30
Citroen,BERLINGO,2021,228 000 KM,Manuelle,7 CV,Diesel,3,11 L,26000
Fiat,UNO,1986,249 KM,Manuelle,4 CV,Essence,3,1 L,4200
Fiat,500,2020,42 551 KM,Manuelle,4 CV,Essence,5,3 L,54500
Peugeot,3008,2019,107 000 KM,Automatique,7 CV,Essence,5,,85000
Citroen,C3,2017,94 000 KM,Manuelle,4 CV,Essence,5,3 L,37500
Peugeot,3008,2018,170 000 KM,Automatique,6 CV,Diesel,5,6 L,75000
Bmw,316,2006,280 KM,Manuelle,7 CV,Essence,5,7 L,35000
Renault,Clio,2023,40 500 KM,Manuelle,5 CV,Essence,5,1 L,57000
Mahindra,KUV 100,2020,90 000 KM,Manuelle,5 CV,Essence,5,21 L,0
MG,Autres,2017,116 000 KM,Automatique,9 CV,Essence,5,,54000
Citroen,DS,2020,80 000 KM,Automatique,7 CV,Diesel,5,5 L,118000
Renault,Megane,2004,280 000 KM,Manuelle,6 CV,Diesel,5,6 L,17500
Suzuki,Swift,2022,33 KM,Manuelle,5 CV,Essence,5,3 L,1
Toyota,Yaris,2017,163 000 KM,Manuelle,4 CV,Essence,5,1 L,35000
Mahindra,KUV 100,2021,45 000 KM,Manuelle,5 CV,Essence,5,,0
Volkswagen,Golf,2013,270 000 KM,Manuelle,5 CV,Essence,5,3 L,45000
Volkswagen,Polo,2011,300 KM,Manuelle,5 CV,Essence,5,5 L,28
Peugeot,407,2010,240 000 KM,Manuelle,5 CV,Diesel,5,7 L,28000
Ford,FOCUS,2017,190 000 KM,Manuelle,6 CV,Essence,5,1 L,40
Kia,RIO,2016,162 000 KM,Manuelle,5 CV,Essence,5,4 L,37
Volkswagen,Passat,2008,230 000 KM,Manuelle,7 CV,Essence,5,7 L,30000
Citroen,AUTRE,2015,400 KM,Manuelle,5 CV,Essence,5,3 L,23000
Honda,AUTRE,2018,290 KM,Manuelle,5 CV,Essence,5,3 L,23000
Renault,Clio,2005,366 KM,Manuelle,4 CV,Diesel,5,3 L,16000
Mercedes,Classe E,2012,240 KM,Automatique,10 CV,Diesel,5,,55000
Peugeot,Autres,2009,254 000 KM,Manuelle,4 CV,Essence,5,3 L,25200
Peugeot,208,2021,65 000 KM,Manuelle,5 CV,Essence,5,3 L,40000
Volkswagen,Tiguan,2014,232 000 KM,Automatique,13 CV,Essence,5,11 L,70000
Fiat,DOBLO,2017,2 000 000 KM,Manuelle,5 CV,Diesel,3,,29000
Ford,ECOSPORT,2021,60 KM,Automatique,7 CV,Essence,5,1 L,70
Peugeot,2008,2015,163 KM,Manuelle,5 CV,Essence,5,6 L,36
Mercedes,Classe Gla,2017,178 075 KM,Automatique,7 CV,Essence,3,21 L,107000
Volkswagen,Caddy,2017,203 KM,Manuelle,5 CV,,3,7 L,40900
Volkswagen,Polo,2013,230 000 KM,Manuelle,5 CV,Essence,5,,0
Peugeot,308,2020,146 500 KM,Manuelle,5 CV,Diesel,5,6 L,0
Seat,Arona,2019,220 000 KM,Manuelle,6 CV,Essence,5,5 L,53500
Ford,FOCUS,2001,250 KM,Manuelle,6 CV,Essence,5,3 L,17200
Hyundai,I10,2017,77 200 KM,Manuelle,5 CV,Essence,5,3 L,1000
Ford,FUSION,2008,222 000 KM,Manuelle,4 CV,Diesel,5,5 L,18
Opel,Astra,2002,341 000 KM,Manuelle,5 CV,Essence,5,5 L,17800
Opel,Astra,2001,341 000 KM,Manuelle,5 CV,Essence,5,5 L,17800
Peugeot,407,2008,336 000 KM,Manuelle,6 CV,Diesel,5,7 L,1
Kia,RIO,2012,118 000 KM,Manuelle,5 CV,Essence,5,,37000
Mazda,CX-5,2018,64 000 KM,Automatique,9 CV,Essence,5,11 L,125000
Peugeot,206,2012,200 KM,Manuelle,4 CV,Essence,5,3 L,22500
Peugeot,206,2008,140 000 KM,Manuelle,6 CV,Essence,5,5 L,16000
Volkswagen,Golf,2008,219 000 KM,Automatique,7 CV,Essence,5,5 L,35000
Audi,Q3,2013,185 000 KM,Automatique,8 CV,Essence,5,5 L,68000
Citroen,NEMO,2015,194 100 KM,Manuelle,5 CV,Essence,5,5 L,36
Fiat,GRANDE PUNTO,2014,148 KM,Manuelle,4 CV,Essence,5,3 L,27
Volkswagen,Polo,2011,207 KM,Manuelle,4 CV,Essence,5,3 L,29
Citroen,C15,1985,300 KM,Manuelle,7 CV,Diesel,3,1 L,8700
Hyundai,I10,2015,180 000 KM,Manuelle,5 CV,Essence,5,,28000
Suzuki,Autres,2020,90 000 KM,Manuelle,5 CV,Essence,5,3 L,35800
Suzuki,Autres,2020,88 000 KM,Manuelle,5 CV,Essence,5,3 L,36500
Mahindra,KUV 100,2022,10 300 KM,Manuelle,5 CV,Diesel,4,3 L,0
Peugeot,308,2015,180 000 KM,Manuelle,5 CV,Essence,5,3 L,32000
Renault,Kangoo,2012,240 000 KM,Manuelle,5 CV,Diesel,3,6 L,24500
Citroen,C3,2014,300 000 KM,Manuelle,6 CV,Diesel,5,7 L,28000
Peugeot,208,2019,95 000 KM,Manuelle,5 CV,Essence,5,3 L,34
Opel,Corsa,2015,223 000 KM,Manuelle,5 CV,Essence,5,3 L,27000
Citroen,C5,2011,326 KM,Manuelle,6 CV,Diesel,5,7 L,33
Fiat,FIORINO,2020,180 KM,Manuelle,5 CV,Diesel,3,4 L,30
Ford,FIESTA,2001,250 000 KM,Manuelle,5 CV,Essence,5,7 L,12000
Peugeot,407,2004,264 000 KM,Manuelle,6 CV,Diesel,5,7 L,20000
Nissan,Micra,2020,74 500 KM,Manuelle,5 CV,Essence,5,3 L,33500
Volkswagen,Golf,1995,287 204 KM,Manuelle,6 CV,Diesel,5,,15700
Mercedes,Classe E,2010,300 000 KM,Manuelle,7 CV,Diesel,5,12 L,72000
Peugeot,308,2014,99 500 KM,Manuelle,5 CV,Essence,5,3 L,34000
Bmw,SERIE 3 VI,2007,250 000 KM,Automatique,10 CV,Diesel,3,,1
Volkswagen,Caddy,2021,179 000 KM,Manuelle,5 CV,Diesel,3,11 L,50
Seat,Arona,2021,58 000 KM,Manuelle,6 CV,Essence,5,7 L,68000
Volkswagen,Golf,2005,300 KM,Manuelle,5 CV,Diesel,5,5 L,0
Volkswagen,Amarok,2014,45 000 KM,Automatique,7 CV,Diesel,5,,125
Infiniti,AUTRE,2023,8 000 KM,Automatique,10 CV,Essence,5,7 L,215000
Chery,Tiggo,2020,100 000 KM,Manuelle,6 CV,Essence,5,7 L,42500
Kia,RIO,2018,108 KM,Manuelle,5 CV,Essence,5,3 L,49900
Citroen,NEMO,2017,150 KM,Manuelle,5 CV,Diesel,5,4 L,25
Peugeot,3008,2020,87 000 KM,Automatique,9 CV,Essence,5,3 L,90000
Volkswagen,Golf 6,2011,170 KM,Manuelle,5 CV,Diesel,5,7 L,38
